VIP;Bruno Vieira;5/8/2020;7:47:23;vip-cartaopf;0.0.23-SNAPSHOT;May 16;2019;4:55 PM;9;D;146;A;6;C;0.0
VIP;Bruno Vieira;5/8/2020;7:47:23;vip-cartaopf;0.0.22-SNAPSHOT;May 15;2019;4:46 PM;9;D;148;A;8;C;0.0
VIP;Bruno Vieira;5/8/2020;7:47:23;vip-cartaopf;0.0.20-SNAPSHOT;April 18;2019;3:41 PM;8;D;112;A;2;C;0.0
VIP;Bruno Vieira;5/8/2020;7:47:23;vip-cartaopf;0.0.19-SNAPSHOT;April 8;2019;4:37 PM;7;D;100;A;0;A;0.0
VIP;Bruno Vieira;5/8/2020;7:47:23;vip-cartaopf;0.0.18-SNAPSHOT;April 5;2019;11:16 AM;7;D;101;A;0;A;0.0
VIP;Bruno Vieira;5/8/2020;7:47:23;vip-cartaopf;0.0.17-SNAPSHOT;March 21;2019;8:49 AM;7;D;72;A;2;C;0.0
VIP;Bruno Vieira;5/8/2020;7:47:23;vip-cartaopf;0.0.16-SNAPSHOT;March 7;2019;3:17 PM;7;D;83;A;0;A;0.0
VIP;Bruno Vieira;5/8/2020;7:47:23;vip-cartaopf;0.0.14-SNAPSHOT;February 7;2019;3:57 PM;3;C;75;A;0;A;0.0
VIP;Bruno Vieira;5/8/2020;7:47:23;vip-cartaopf;0.0.13;December 27;2018;12:52 PM;2;C;39;A;0;A;0.0
VIP;Bruno Vieira;5/8/2020;7:47:23;vip-cartaopf;0.0.12;December 27;2018;11:18 AM;4;D;40;A;0;A;0.0
VIP;Bruno Vieira;5/8/2020;7:47:23;vip-cartaopf;0.0.11;December 27;2018;9:34 AM;4;D;40;A;0;A;0.0
VIP;Bruno Vieira;5/8/2020;7:47:23;vip-cartaopf;0.0.10;December 26;2018;1:25 PM;9;D;59;A;1;C;0.0
VIP;Bruno Vieira;5/8/2020;7:47:23;vip-cartaopf;0.0.9;December 26;2018;9:37 AM;9;D;56;A;2;C;0.0
VIP;Bruno Vieira;5/8/2020;7:47:23;vip-cartaopf;0.0.8;December 17;2018;7:52 AM;9;D;52;A;4;C;0.0
VIP;Bruno Vieira;5/8/2020;7:47:23;vip-cartaopf;0.0.7;December 12;2018;5:00 PM;7;D;49;A;4;C;0.0
VIP;Bruno Vieira;5/8/2020;7:47:23;vip-cartaopf;0.0.6;December 4;2018;3:56 PM;5;C;37;A;7;C;0.0
VIP;Bruno Vieira;5/8/2020;7:47:23;vip-cartaopf;0.0.5;December 3;2018;1:10 PM;5;C;38;A;5;C;0.0
VIP;Bruno Vieira;5/8/2020;7:47:23;vip-cartaopf;0.0.4;November 29;2018;8:04 AM;3;C;35;A;15;C;0.0
VIP;Bruno Vieira;5/8/2020;7:47:23;vip-cartaopf;0.0.3;November 28;2018;9:36 AM;3;C;35;A;15;C;0.0
VIP;Bruno Vieira;5/8/2020;7:47:23;vip-cartaopf;0.0.2;November 22;2018;8:20 AM;3;C;35;A;15;C;0.0
VIP;Bruno Vieira;5/8/2020;7:47:23;vip-cartaopf;0.0.1;November 21;2018;11:16 AM;3;C;34;A;14;C;0.0
VIP;Bruno Vieira;5/8/2020;7:47:42;vip-cartaopf-api;1.5.0;July 22;2020;11:15 AM;0;A;276;A;0;A;81.6
VIP;Bruno Vieira;5/8/2020;7:47:42;vip-cartaopf-api;1.4.0.0;June 21;2020;2:08 PM;0;A;254;A;0;A;81.6
VIP;Bruno Vieira;5/8/2020;7:47:42;vip-cartaopf-api;1.4.0;May 29;2020;12:48 PM;0;A;202;A;0;A;81.6
VIP;Bruno Vieira;5/8/2020;7:47:42;vip-cartaopf-api;1.3.1;February 26;2020;3:11 PM;0;A;199;A;0;A;81.7
VIP;Bruno Vieira;5/8/2020;7:47:42;vip-cartaopf-api;1.1.1;October 18;2019;12:34 PM;0;A;92;A;0;A;90.3
VIP;Bruno Vieira;5/8/2020;7:47:42;vip-cartaopf-api;1.1.0;October 14;2019;2:50 PM;0;A;102;A;0;A;90.3
VIP;Bruno Vieira;5/8/2020;7:47:42;vip-cartaopf-api;1.0.1;July 31;2019;4:19 PM;0;A;42;A;0;A;94.4
VIP;Bruno Vieira;5/8/2020;7:47:42;vip-cartaopf-api;0.0.47;June 24;2019;1:11 PM;0;A;42;A;0;A;90.3
VIP;Bruno Vieira;5/8/2020;7:47:42;vip-cartaopf-api;0.0.46;June 14;2019;2:11 PM;0;A;42;A;0;A;90.3
VIP;Bruno Vieira;5/8/2020;7:47:42;vip-cartaopf-api;0.0.45;June 12;2019;10:20 AM;0;A;43;A;0;A;22.9
VIP;Bruno Vieira;5/8/2020;7:47:42;vip-cartaopf-api;0.0.26;December 28;2018;1:54 PM;0;A;32;A;0;A;45.5
VIP;Bruno Vieira;5/8/2020;7:47:42;vip-cartaopf-api;0.0.25;December 28;2018;1:45 PM;0;A;32;A;0;A;45.5
VIP;Bruno Vieira;5/8/2020;7:47:42;vip-cartaopf-api;0.0.24;December 28;2018;12:24 PM;0;A;31;A;0;A;44.2
VIP;Bruno Vieira;5/8/2020;7:47:42;vip-cartaopf-api;0.0.23;December 28;2018;12:14 PM;0;A;31;A;0;A;42.1
VIP;Bruno Vieira;5/8/2020;7:47:42;vip-cartaopf-api;0.0.22;December 27;2018;7:21 PM;0;A;31;A;0;A;25.0
VIP;Bruno Vieira;5/8/2020;7:47:42;vip-cartaopf-api;0.0.21;December 27;2018;3:22 PM;0;A;31;A;0;A;11.7
VIP;Bruno Vieira;5/8/2020;7:47:42;vip-cartaopf-api;0.0.20;December 27;2018;3:09 PM;0;A;31;A;0;A;11.7
VIP;Bruno Vieira;5/8/2020;7:47:42;vip-cartaopf-api;0.0.19;December 27;2018;2:40 PM;0;A;31;A;0;A;11.7
VIP;Bruno Vieira;5/8/2020;7:47:42;vip-cartaopf-api;0.0.18;December 27;2018;11:16 AM;0;A;31;A;0;A;0.0
VIP;Bruno Vieira;5/8/2020;7:47:42;vip-cartaopf-api;0.0.17;December 27;2018;9:33 AM;0;A;31;A;0;A;0.0
VIP;Bruno Vieira;5/8/2020;7:47:42;vip-cartaopf-api;0.0.16;December 26;2018;4:52 PM;0;A;35;A;0;A;0.0
SPD;Claudio Junior;5/8/2020;7:48:18;spd-api;1.1.34;August 4;2020;1:50 PM;0;A;334;A;0;A;93.2
SPD;Claudio Junior;5/8/2020;7:48:18;spd-api;1.1.33;July 26;2020;9:31 PM;0;A;327;A;0;A;93.0
SPD;Claudio Junior;5/8/2020;7:48:18;spd-api;1.1.32;July 26;2020;3:35 PM;0;A;329;A;0;A;89.3
SPD;Claudio Junior;5/8/2020;7:48:18;spd-api;1.1.31;July 26;2020;2:47 PM;0;A;329;A;0;A;45.5
SPD;Claudio Junior;5/8/2020;7:48:18;spd-api;1.1.30;July 22;2020;10:19 AM;0;A;393;A;0;A;88.4
SPD;Claudio Junior;5/8/2020;7:48:18;spd-api;1.1.29;July 16;2020;3:44 PM;0;A;393;A;0;A;88.4
